Time,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ,TemperatureMPU,Pressure,Humidity,Gas,BME_Temperature,UV_Voltage,UV_Index,Longitude,Latitude,datatime,speed,AltitudeGPS,AltitudeBME,AccelerationAbsolute,GyroscopeAbsolute
5343,5.714959621,-0.392649084,8.451532364,0.451120973,-0.043699846,-0.123105668,23.40058899,991.210022,39.01182175,10.47799969,19.69152069,0.038709678,0.387096763,0,0,0,0,0,25899.58203,10.209962589185425,0.4696539303727976
5811,-3.112462282,-1.254561663,8.920795441,-0.105385914,-0.055823889,0.022516079,23.4947052,991.210022,39.01182175,10.47799969,19.69152069,0.041935485,0.419354856,0,0,0,0,0,25899.58203,9.531103699116297,0.12136503312830248
6279,-0.74459672,-0.612915635,6.251260757,0.401958644,-1.522300124,-0.695067406,23.44764709,991.210022,39.01182175,10.47799969,19.69152069,0.041935485,0.419354856,0,0,0,0,0,25899.58203,6.325215482738151,1.7210715028435928
7536,3.112462282,3.332728863,8.037335396,-0.197715163,-0.545049012,-1.253173113,23.35352898,991.2600098,38.903759,16.86199951,19.85817909,0.041935485,0.419354856,0,0,0,0,0,25899.51172,9.240847547651697,1.3808014203021386
8003,6.435614109,5.008669853,5.042188644,-0.393431842,0.224627867,0.200646251,23.44764709,991.2600098,38.903759,16.86199951,19.85817909,0.041935485,0.419354856,0,0,0,0,0,25899.51172,9.587886575152705,0.49548482415997125
8468,-1.209071875,1.498770237,7.02937603,0.538387418,1.010558963,-0.905439496,23.4947052,991.2600098,38.903759,16.86199951,19.85817909,0.041935485,0.419354856,0,0,0,0,0,25899.51172,7.28836705945657,1.4597640598662087
9721,-7.211335659,2.015917778,6.014234543,0.371448696,0.378243476,-0.05489127,23.44764709,991.25,38.7300415,23.98600006,19.93504906,0.041935485,0.419354856,0,0,0,0,0,25899.51172,9.6040774472427,0.5329683972046334
10182,-4.441244125,2.573766708,5.063736439,0.143756509,0.016254211,0.50174886,23.54176521,991.25,38.7300415,23.98600006,19.93504906,0.041935485,0.419354856,0,0,0,0,0,25899.51172,7.210433493813849,0.5221896702984455
10642,-3.787626982,5.149928093,2.978386879,-0.525730491,0.310961694,-0.516670763,23.54176521,991.25,38.7300415,23.98600006,19.93504906,0.041935485,0.419354856,0,0,0,0,0,25899.51172,7.052564492356266,0.8000240006658881
11895,-2.408566952,3.277662039,7.026981831,0.2311562,-0.944609523,-1.588782549,23.4947052,991.2600098,38.55065536,30.88699913,20.01034546,0.041935485,0.419354856,0,0,0,0,0,25899.47656,8.119281794430607,1.862780268240907
12362,0.248996973,3.670311213,7.297526836,-0.195183769,0.11711026,-0.08020521,23.58882332,991.2600098,38.55065536,30.88699913,20.01034546,0.041935485,0.419354856,0,0,0,0,0,25899.47656,8.172336374316519,0.24133875028568674
12829,-1.446097851,3.438073635,9.287108421,-0.152549773,-0.002931087,-0.250741184,23.44764709,991.2600098,38.55065536,30.88699913,20.01034546,0.041935485,0.419354856,0,0,0,0,0,25899.47656,10.008093331786931,0.2935151884776578
14090,1.584961534,-0.478840351,8.391676903,-0.325350702,-1.561736584,-0.566499233,23.44764709,991.25,38.37943649,37.62200165,20.05224609,0.041935485,0.419354856,0,0,0,0,0,25899.51172,8.553457335507622,1.692866095733939
14555,1.8602947,-1.343147159,8.231265068,0.416614085,0.997502267,-0.278719753,23.4947052,991.25,38.37943649,37.62200165,20.05224609,0.038709678,0.387096763,0,0,0,0,0,25899.51172,8.545084275842745,1.1163613972199629
15016,3.560178041,-3.524264812,6.641515732,-0.905173004,-1.651667714,-1.748660088,23.4947052,991.25,38.37943649,37.62200165,20.05224609,0.038709678,0.387096763,0,0,0,0,0,25899.51172,8.318956747520899,2.570049903796527
